,tel,appid,time,count
0,13900000001,50057,70,1
1,13900000002,50057,75,1
2,13900000003,10005,161,1
3,13900000004,10005,107,1
4,13900000005,10005,116648,6
5,13900000006,10005,2110,1
6,13900000007,10005,824,6
7,13900000007,70093,75610,1
8,13900000007,220499,98,3
9,13900000008,70093,78147,1
10,13900000009,10001,174,1
11,13900000009,50053,1566,1
12,13900000009,50057,155,2
13,13900000009,71455,957,1
14,13900000009,220499,140,1
15,13900000010,10005,561,2
16,13900000011,10005,190,1
17,13900000012,10005,199,1
18,13900000012,70099,4700,1
19,13900000012,221135,519,3
20,13900000012,341266,131,2
21,13900000013,70328,139,1
22,13900000014,10001,9302,12
23,13900000014,11625,610,1
24,13900000014,71455,6512,2
25,13900000015,10005,10060,10
26,13900000016,10005,565,2
27,13900000017,10005,236,2
28,13900000018,181552,12877,2
29,13900000018,221061,10352,2
30,13900000018,370955,414,2
31,13900000019,231973,0,1
32,13900000020,50057,10811,1
33,13900000020,50367,16256,1
34,13900000020,180688,64543,1
35,13900000021,10005,2373,3
36,13900000022,201154,250,1
37,13900000023,221061,48057,4
38,13900000024,70377,203,2
39,13900000025,110157,156,1
40,13900000026,10005,199,1
41,13900000027,10005,2822,6
42,13900000028,10005,3632,4
43,13900000029,10005,136,1
44,13900000030,10005,79478,10
45,13900000031,221193,201,1
46,13900000032,151394,61,1
47,13900000033,10001,1395,2
48,13900000033,180229,2774,4
49,13900000034,10001,902,2
50,13900000034,10005,191,1
51,13900000034,60071,296,2
52,13900000034,180182,193,1
53,13900000035,10005,2266,2
54,13900000036,10005,179,1
55,13900000037,40423,129,1
56,13900000037,341309,119918,1
57,13900000038,10005,953,6
58,13900000039,60071,172,2
59,13900000040,10001,354,2
60,13900000040,10005,15898,2
61,13900000040,10205,16954,1
62,13900000040,71455,13641,1
63,13900000041,10005,246,2
64,13900000042,200837,40,1
65,13900000043,200837,60,1
66,13900000044,10005,2695,8
67,13900000044,341542,131,1
68,13900000045,10005,95,1
69,13900000045,50053,51,1
70,13900000046,10005,293,1
71,13900000047,10005,110,1
72,13900000048,10005,9253,11
73,13900000049,10001,739,1
74,13900000050,10005,25011,1
75,13900000051,10435,70,1
76,13900000051,30035,174,2
77,13900000051,40384,50064,4
78,13900000051,151446,504,1
79,13900000051,180183,260,2
80,13900000051,181510,96,1
81,13900000051,220371,129,1
82,13900000051,220499,25214,5
83,13900000051,270231,134,1
84,13900000051,320403,125,1
85,13900000051,341509,79,1
86,13900000052,10005,0,1
87,13900000052,51176,4630,1
88,13900000052,70106,275,1
89,13900000052,340788,75,1
90,13900000053,10001,2000,1
91,13900000054,10005,50002,1
92,13900000054,200335,80,1
93,13900000055,10005,190,1
94,13900000055,341211,190,1
95,13900000056,10001,2174,2
96,13900000056,10005,16312,29
97,13900000056,160334,535,1
98,13900000056,180229,3918,3
99,13900000057,110157,115,1
100,13900000058,10005,180,1
101,13900000059,220499,1189,1
102,13900000060,10005,472,3
103,13900000061,10005,80,1
104,13900000061,11282,61046,1
105,13900000061,71537,91,1
106,13900000061,151499,102343,1
107,13900000061,180229,100,1
108,13900000061,250366,1062,1
109,13900000062,10005,162,1
110,13900000063,60494,4423,4
111,13900000064,10005,81,1
112,13900000065,220499,137789,2
113,13900000066,10005,4778,5
114,13900000067,10005,95,1
115,13900000068,50066,9612,4
116,13900000068,50501,40300,1
117,13900000069,10005,2091,6
118,13900000070,10005,328,3
119,13900000070,210847,229,1
120,13900000070,271134,289,2
121,13900000070,341309,167,1
122,13900000071,10005,700,7
123,13900000071,80609,434,2
124,13900000072,50054,24365,3
125,13900000073,11233,101,1
126,13900000073,80609,371,1
127,13900000074,340788,84,1
128,13900000075,10001,1123,1
129,13900000075,10006,24888,5
130,13900000075,11479,6384,1
131,13900000075,60071,303,1
132,13900000076,10005,7397,4
133,13900000077,240213,1302,1
134,13900000078,10005,270,2
135,13900000079,10005,125,1
136,13900000079,11282,59811,1
137,13900000080,70109,190,1
138,13900000081,50048,6622,6
139,13900000081,200395,30492,3
140,13900000081,200473,2436,1
141,13900000081,270231,169,1
142,13900000082,10001,333,2
