tel,appid,time,count
13900000001,0,0,0
13900000002,0,0,0
13900000003,0,0,0
13900000004,0,0,0
13900000005,0,0,0
13900000006,0,0,0
13900000007,0,0,0
13900000008,0,0,0
13900000009,0,0,0
13900000010,0,0,0
13900000011,0,0,0
13900000012,0,0,0
13900000013,0,0,0
13900000014,0,0,0
13900000015,0,0,0
13900000016,0,0,0
13900000017,0,0,0
13900000018,0,0,0
13900000019,0,0,0
13900000020,0,0,0
13900000021,0,0,0
13900000022,0,0,0
13900000023,0,0,0
13900000024,0,0,0
13900000025,0,0,0
13900000026,0,0,0
13900000027,0,0,0
13900000028,0,0,0
13900000029,0,0,0
13900000030,0,0,0
13900000031,0,0,0
13900000032,0,0,0
13900000033,0,0,0
13900000034,0,0,0
13900000035,0,0,0
13900000036,0,0,0
13900000037,0,0,0
13900000038,0,0,0
13900000039,0,0,0
13900000040,0,0,0
13900000041,0,0,0
13900000042,0,0,0
13900000043,0,0,0
13900000044,0,0,0
13900000045,0,0,0
13900000046,0,0,0
13900000047,0,0,0
13900000048,0,0,0
13900000049,0,0,0
13900000050,0,0,0
13900000051,0,0,0
13900000052,0,0,0
13900000053,0,0,0
13900000054,0,0,0
13900000055,0,0,0
13900000056,0,0,0
13900000057,0,0,0
13900000058,0,0,0
13900000059,0,0,0
13900000060,0,0,0
13900000061,0,0,0
13900000062,0,0,0
13900000063,0,0,0
13900000064,0,0,0
13900000065,0,0,0
13900000066,0,0,0
13900000067,0,0,0
13900000068,0,0,0
13900000069,0,0,0
13900000070,0,0,0
13900000071,0,0,0
13900000072,0,0,0
13900000073,0,0,0
13900000074,0,0,0
13900000075,0,0,0
13900000076,0,0,0
13900000077,0,0,0
13900000078,0,0,0
13900000079,0,0,0
13900000080,0,0,0
13900000081,0,0,0
13900000082,0,0,0
13900000083,0,0,0
13900000084,0,0,0
13900000085,0,0,0
13900000086,0,0,0
13900000087,0,0,0
13900000088,0,0,0
13900000089,0,0,0
13900000090,0,0,0
13900000091,0,0,0
13900000092,0,0,0
13900000093,0,0,0
13900000094,0,0,0
13900000095,0,0,0
13900000096,0,0,0
13900000097,0,0,0
13900000098,0,0,0
13900000099,0,0,0
13900000100,0,0,0
13900000101,0,0,0
13900000102,0,0,0
13900000103,0,0,0
13900000104,0,0,0
13900000105,0,0,0
13900000106,0,0,0
13900000107,0,0,0
13900000108,0,0,0
13900000109,0,0,0
13900000110,0,0,0
13900000111,0,0,0
13900000112,0,0,0
13900000113,0,0,0
13900000114,0,0,0
13900000115,0,0,0
13900000116,0,0,0
13900000117,0,0,0
13900000118,0,0,0
13900000119,0,0,0
13900000120,0,0,0
13900000121,0,0,0
13900000122,0,0,0
13900000123,0,0,0
13900000124,0,0,0
13900000125,0,0,0
13900000126,0,0,0
13900000127,0,0,0
13900000128,0,0,0
13900000129,0,0,0
13900000130,0,0,0
13900000131,0,0,0
13900000132,0,0,0
13900000133,0,0,0
13900000134,0,0,0
13900000135,0,0,0
13900000136,0,0,0
13900000137,0,0,0
13900000138,0,0,0
13900000139,0,0,0
13900000140,0,0,0
